iter	RMSE
0	0.01231126978
1	0.01207120445
2	0.01184243626
3	0.01162993143
4	0.0114431038
5	0.0112578783
6	0.01108084829
7	0.01090929629
8	0.01075589346
9	0.01060459173
10	0.01046927543
11	0.01034521602
12	0.01024085992
13	0.01013085952
14	0.01003210874
15	0.009939704056
16	0.009854986826
17	0.009769960455
18	0.009693639094
19	0.009618916485
20	0.009557667372
21	0.009496946661
22	0.009436744363
23	0.009376479517
24	0.00932612544
25	0.009274020615
26	0.009227098698
27	0.009178493485
28	0.009128907005
29	0.009088290161
30	0.009056159175
31	0.009017573993
32	0.008983972548
33	0.008944377581
34	0.008910397506
35	0.008880483725
36	0.008850898674
37	0.008817461122
38	0.008793682573
39	0.008772815561
40	0.008746810238
41	0.008724755393
42	0.008698698708
43	0.008682868629
44	0.008663163725
45	0.008638711677
46	0.008608445558
47	0.008592690095
48	0.008569210365
49	0.008545102837
50	0.008522524086
51	0.008504896849
52	0.008487493268
53	0.008466474461
54	0.008453735213
55	0.008438398065
56	0.008419480912
57	0.00840574766
58	0.008387099523
59	0.008375086579
60	0.008354108523
61	0.008339675254
62	0.008317140879
63	0.008297841918
64	0.008279098513
65	0.008263914108
66	0.008246595426
67	0.008237789945
68	0.008223372572
69	0.008209010808
70	0.008194179445
71	0.008179754454
72	0.0081647041
73	0.008155858805
74	0.008149309442
75	0.008129802307
76	0.00811166394
77	0.008095104539
78	0.008085325818
79	0.008064153421
80	0.008054852989
81	0.008049318469
82	0.008041319933
83	0.008030376502
84	0.008008202513
85	0.008000078188
86	0.007989322435
87	0.007982887864
88	0.00797086188
89	0.007961892646
90	0.007951362919
91	0.007943425912
92	0.007936819786
93	0.007920919535
94	0.007914826731
95	0.007898053669
96	0.007893368933
97	0.007886655191
98	0.007873764842
99	0.007860729139
100	0.007843777289
101	0.007831876674
102	0.007817884184
103	0.00781085964
104	0.007805022804
105	0.007792729555
106	0.007774840105
107	0.007768458562
108	0.007755268039
109	0.007746437585
110	0.007734806068
111	0.007725271645
112	0.007720046643
113	0.007712609322
114	0.007701314364
115	0.007694945255
116	0.007686235956
117	0.007678506941
118	0.007671573828
119	0.007666483199
120	0.007658333645
121	0.007646973649
122	0.00764170203
123	0.007632502843
124	0.007625103946
125	0.007610951159
126	0.007605022913
127	0.007589911066
128	0.007576248641
129	0.007564628911
130	0.007558656704
131	0.007553788069
132	0.007540889154
133	0.007534129188
134	0.007524703492
135	0.007518881846
136	0.00750925842
137	0.007502291759
138	0.007495978763
139	0.007486120185
140	0.007477928014
141	0.007468677385
142	0.007462618392
143	0.007451318709
144	0.007443416617
145	0.007433790422
146	0.007424511441
147	0.007415871456
148	0.007407201134
149	0.007402636619
150	0.007390404363
151	0.007381233617
152	0.007371856306
153	0.007360281381
154	0.007353097038
155	0.007347514968
156	0.007344133505
157	0.007334796049
158	0.007323850004
159	0.007316247757
160	0.007308916859
161	0.007300102689
162	0.007287439601
163	0.00728003709
164	0.007269566262
165	0.007259243536
166	0.007248663954
167	0.007243668799
168	0.007235694873
169	0.007230976952
170	0.007223851142
171	0.007217785654
172	0.007211203077
173	0.007203112067
174	0.007192484529
175	0.007186768964
176	0.00717203373
177	0.007165310413
178	0.007150395968
179	0.00714624496
180	0.007141643292
181	0.007135791428
182	0.007127524361
183	0.00711853137
184	0.007109847125
185	0.007103851472
186	0.007099180955
187	0.007088237355
188	0.00708049489
189	0.007076335185
190	0.007069255944
191	0.007064879245
192	0.007059420102
193	0.007050814766
194	0.007044743749
195	0.007039433147
196	0.007035279382
197	0.00702543423
198	0.007018615108
199	0.007006106502
200	0.006999717157
201	0.006996432146
202	0.006990534416
203	0.006983514818
204	0.006976142822
205	0.006970908637
206	0.006966403063
207	0.006957340816
208	0.006949626929
209	0.006942423367
210	0.006930250151
211	0.006924335414
212	0.006918403858
213	0.006905366204
214	0.006902797483
215	0.006895609842
216	0.006884575618
217	0.006876703756
218	0.006867135689
219	0.006853131994
220	0.006847481653
221	0.006839642525
222	0.006834723248
223	0.006827623982
224	0.006823446818
225	0.006815948406
226	0.006806977435
227	0.006797308341
228	0.006790273873
229	0.006778359687
230	0.006770467043
231	0.006763225715
232	0.006750828602
233	0.00674269254
234	0.006733490147
235	0.006730349494
236	0.006723160784
237	0.00671654592
238	0.006712201807
239	0.006707405046
240	0.006699485485
241	0.00668878242
242	0.006683507274
243	0.006674371979
244	0.006669742275
245	0.006662956891
246	0.006658765439
247	0.006654531902
248	0.006643981315
249	0.006636676185
250	0.006629126635
251	0.006623899211
252	0.006613919542
253	0.006608232738
254	0.006599206092
255	0.006595332953
256	0.006585556946
257	0.006580799833
258	0.006578841288
259	0.006567899707
260	0.00655655498
261	0.0065524045
262	0.006546517676
263	0.006541954686
264	0.006539303898
265	0.006531805724
266	0.006524736176
267	0.006516603971
268	0.006511007014
269	0.006501062547
270	0.006494367334
271	0.006486522397
272	0.006479093053
273	0.006474231086
274	0.006467457224
275	0.006460651416
276	0.006454193765
277	0.006451885544
278	0.006444009904
279	0.006432506225
280	0.006428424683
281	0.006423339965
282	0.006413071139
283	0.00640712931
284	0.00639710284
285	0.006393320284
286	0.006387695764
287	0.006380011956
288	0.006373531033
289	0.006361642407
290	0.006356487342
291	0.006350271057
292	0.006340299094
293	0.006334040172
294	0.006324833767
295	0.006319074019
296	0.006312732281
297	0.0063059055
298	0.006299911465
299	0.00629512914
